0:	0.00176102196951655
1:	0.0296890333167098
2:	0.0631758679567444
3:	0.131540326697295
4:	0.221620550749521
5:	0.302206707393093
6:	0.351793721973094
7:	0.41002277904328
8:	0.451464675473866
9:	0.5
10:	0.57618437900128
11:	0.629116117850953
12:	0.688279301745636
13:	0.63859649122807
14:	0.6
15:	0.720238095238095
16:	0.624161073825503
17:	0.68503937007874
18:	0.72289156626506
19:	0.746268656716418
20:	0.676923076923077
21:	0.843137254901961
22:	0.771428571428571
23:	0.962962962962963
24:	0.576923076923077
25:	0.869565217391304
26:	0.722222222222222
27:	0.727272727272727
28:	0.636363636363636
29:	0.666666666666667
30:	0.5
31:	0.666666666666667
32:	0.625
33:	0.8125
34:	0.923076923076923
35:	0.8
36:	1
37:	1
38:	0.75
39:	0.75
40:	0.333333333333333
41:	0.666666666666667
42:	0.75
43:	0.5
44:	0.666666666666667
45:	1
46:	1
47:	1
48:	-nan(ind)
49:	-nan(ind)
50:	1
51:	1
52:	0.75
53:	-nan(ind)
54:	1
55:	-nan(ind)
56:	0
57:	0.666666666666667
58:	-nan(ind)
59:	1
60:	-nan(ind)
61:	-nan(ind)
62:	-nan(ind)
63:	-nan(ind)
64:	-nan(ind)
65:	1
66:	-nan(ind)
67:	0.666666666666667
68:	1
69:	1
70:	-nan(ind)
71:	1
72:	-nan(ind)
73:	-nan(ind)
74:	-nan(ind)
75:	1
76:	-nan(ind)
77:	0
78:	0
79:	1
80:	-nan(ind)
81:	-nan(ind)
82:	-nan(ind)
83:	-nan(ind)
84:	-nan(ind)
85:	-nan(ind)
86:	-nan(ind)
87:	-nan(ind)
88:	-nan(ind)
89:	-nan(ind)
90:	1
91:	-nan(ind)
92:	-nan(ind)
93:	-nan(ind)
94:	1
95:	-nan(ind)
96:	-nan(ind)
97:	-nan(ind)
98:	-nan(ind)
99:	-nan(ind)
100:	-nan(ind)
101:	0
102:	-nan(ind)
103:	-nan(ind)
104:	-nan(ind)
105:	-nan(ind)
106:	-nan(ind)
107:	-nan(ind)
108:	-nan(ind)
109:	-nan(ind)
110:	-nan(ind)
111:	-nan(ind)
112:	-nan(ind)
113:	-nan(ind)
114:	-nan(ind)
115:	-nan(ind)
116:	-nan(ind)
117:	1
118:	-nan(ind)
119:	-nan(ind)
120:	-nan(ind)
121:	-nan(ind)
122:	-nan(ind)
123:	-nan(ind)
124:	-nan(ind)
125:	-nan(ind)
126:	-nan(ind)
127:	-nan(ind)
128:	-nan(ind)
129:	-nan(ind)
130:	-nan(ind)
131:	-nan(ind)
132:	-nan(ind)
133:	-nan(ind)
134:	-nan(ind)
135:	-nan(ind)
136:	-nan(ind)
137:	-nan(ind)
138:	-nan(ind)
139:	-nan(ind)
140:	-nan(ind)
141:	-nan(ind)
142:	-nan(ind)
143:	-nan(ind)
144:	-nan(ind)
145:	-nan(ind)
146:	-nan(ind)
147:	-nan(ind)
148:	1

